"id","user_id","game_id","pick","is_correct","created_at"
"001f3b87-ae67-4df1-9459-83e4997d7a04","KNCanobU7uVRwHBloZcTX4hohOD2","3acf4b39-ba12-4d6d-83a6-8845117be627","home","false","""2025-10-11T15:11:33.438Z"""
"002b0a58-6b96-4d3b-8358-de9b77c970e9","KNCanobU7uVRwHBloZcTX4hohOD2","7192c43d-86ac-41f4-a295-4f8c93d9c895","home","true","""2025-10-11T15:08:25.434Z"""
"003368c8-69ee-401b-a159-5abe5a014ece","HHUFVmkNFOVQRY811qCFh46cuM63","cfabb977-38c9-46be-ac17-8b760d0000d1","home","true","""2025-12-10T01:12:52.098Z"""
"0034c7c5-7949-41b7-bcfc-4d2471975b2d","MrwsvsZKPwTJ4SwYnAKtyPEAsrq2","9cdf4e41-36ae-4354-903e-0f09c651d6f5","home","false","""2025-12-03T23:38:09.326Z"""
"00658f85-a031-451d-84e6-fb928448fb11","HHUFVmkNFOVQRY811qCFh46cuM63","f6fab087-2f9f-4790-bc3f-3ce30915e78f","home","true","""2025-10-15T14:35:47.122Z"""
"00832717-32cb-45ec-ab23-4f09afa3094b","BQMdo8NUOgY8n0QxdUophLPMewp2","276805f8-a20e-4293-be82-942d6476caf2","home","true","""2025-11-20T02:12:53.521Z"""
"009a5214-ef87-4bdf-975d-900bd6c19ed5","5Sg3H3XuN7cEb8TLhyA8p8j3hg12","e6808aab-7a72-4e45-a298-5ae94f361977","away","true","""2025-10-13T05:27:54.959Z"""
"00b5b3c4-f0ee-4ffe-91f0-677b3feda3ce","KNCanobU7uVRwHBloZcTX4hohOD2","e37673f8-4ca5-4823-af52-83bfff38261c","away","true","""2025-12-16T16:11:50.219Z"""
"00ed98fa-765d-4b23-8bc4-5e039aa488a8","5Sg3H3XuN7cEb8TLhyA8p8j3hg12","af6dbb8b-7945-4286-a7ae-7e86a9a49260","home","false","""2025-10-13T05:27:54.977Z"""
"00f2ed22-99da-46a0-8e33-fc9b0db268ef","uTosuZBxPucsOAnCnHmdA3pzBlb2","d651c81f-0354-4c35-89a3-a09c9278c406","away","true","""2025-11-04T20:38:13.596Z"""
