"id","user_id","type","name","description","week","earned_at","season","sport","game_id"
"00e30100-fdf0-4c20-a251-0a42bd652597","fr8mqCiecfbf9coDGLRV2l3U4Ex1","loser","Loser of the Week","Got 10 picks wrong this week","4","""2025-10-15T04:25:10.967Z""","2025","nfl",
"052e6102-24e7-40c5-b578-3f51d1ebd6ec","uTosuZBxPucsOAnCnHmdA3pzBlb2","lone_wolf","Lone Wolf","Was the only player to pick BAL to beat GB","17","""2025-12-30T16:42:59.694Z""","2025","nfl","e3482d66-4562-4ff3-b48d-5845fb84f5c7"
"0617663d-1755-4a1b-b552-be7411811132","KNCanobU7uVRwHBloZcTX4hohOD2","upset_pick","Upset Pick of the Week","Successfully picked a winner with only 47.6% win probability","10","""2025-11-11T08:21:39.134Z""","2025","nfl",
"0b2a7dbf-48c5-4140-b2ae-d81ceae27831","HHUFVmkNFOVQRY811qCFh46cuM63","most_wins","Most Wins of the Week","Got 10 picks correct this week","4","""2025-10-15T04:25:10.680Z""","2025","nfl",
"0c662881-6f57-4dc1-8227-a911e2c13729","BQMdo8NUOgY8n0QxdUophLPMewp2","upset_pick","Upset Pick of the Week","Picked TEN to beat KC with only 31% win probability","16","""2025-12-23T08:04:44.750Z""","2025","nfl",
"0e914aa2-d09f-4936-be4f-51d3f9bbf1a9","HHUFVmkNFOVQRY811qCFh46cuM63","lone_wolf","Lone Wolf","Was the only player to pick BAL to beat CIN","15","""2025-12-16T15:11:08.590Z""","2025","nfl","8dc1d7d8-3f47-445e-9d17-168f1c4e8ab2"
"15ff6198-010e-4e2b-bbf1-e702a92dd27d","uTosuZBxPucsOAnCnHmdA3pzBlb2","upset_pick","Upset Pick of the Week","Picked SF to beat CAR with only 73% win probability","12","""2025-11-25T17:20:36.369Z""","2025","nfl",
"18a93c0c-a9d6-45be-8282-77a34a79ab2e","fr8mqCiecfbf9coDGLRV2l3U4Ex1","lone_wolf","Lone Wolf","Was the only player to pick CHI to beat PHI","13","""2025-12-02T08:12:49.233Z""","2025","nfl","18b4661d-a29c-4770-92f0-c69c15ef87fe"
"1a14cd0a-6c53-42c1-8d5b-e928a6de5d6d","BQMdo8NUOgY8n0QxdUophLPMewp2","most_wins","Most Wins of the Week","Got 10 picks correct this week","15","""2025-12-16T15:11:07.951Z""","2025","nfl",
"1a48ecff-20bf-4ec2-8cff-80568fd06ff7","BQMdo8NUOgY8n0QxdUophLPMewp2","upset_pick","Upset Pick of the Week","Successfully picked a winner with only 47.6% win probability","10","""2025-11-11T08:21:40.734Z""","2025","nfl",
